2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:10:10,986 - INFO - Transcription: aa hepsinin hepsinin yolu farkl\u0131

2025-02-10 17:10:11,181 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,231 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,281 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,332 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,381 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,431 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,481 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,531 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,580 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,631 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,681 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,731 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,781 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,831 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,882 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,932 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:11,981 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,032 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,081 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,131 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,180 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,232 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,282 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,332 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,381 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:10:12,431 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
